compound,temperature,conductivity,log10_target,log10_predict,Ionic_Conductivity,residue,,,
Li6.6 La3.0Zr1.6Ta0.4O12,300,3.70E-04,-3.431798276,-3.608864689,0.000219515,0.051410072,,,
Li6.6 La3.0Zr1.6Ta0.4O12,300,1.50E-04,-3.823908741,-4.307692657,0.000219515,0.027348088,,,
Li6.6 La3.0Zr1.6Ta0.4O12,300,7.85E-05,-4.105130343,-4.390624192,0.000219515,0.199446357,,,
Li6.6 La3.0Zr1.6Sb0.4O12,300,1.10E-04,-3.958607315,-3.320050808,0.000166167,0.032095453,,,
Li6.3 La3.0Zr1.65W0.35O12,300,6.60E-04,-3.180456064,-3.583799476,0.000125592,0.519238235,,,
Li7.0 La3.0Zr1.7Ge0.3O12,300,4.78E-04,-3.320572103,-3.442091964,0.000152118,0.247254722,,,
Li6.4 La3.0Zr1.7Mo0.3O12,300,3.53E-04,-3.452225295,-3.897131362,0.000160489,0.117188762,,,
Li6.4 La3.0Zr1.7W0.3O12,300,7.89E-04,-3.102922997,-2.854478361,0.000161164,0.475835751,,,
Li6.7 La3.0Zr1.7Ta0.3O12,300,1.03E-03,-2.987162775,-2.262246314,0.000244923,0.38913627,,,
Li6.65 La2.95Zr1.75Ga0.05Ba0.05Ta0.25O12,300,7.20E-04,-3.142667504,-3.164752562,0.000294341,0.150917545,,,
Li6.8 La2.95Zr1.75Ba0.05Ta0.25O12,300,6.50E-04,-3.187086643,-2.965043345,0.000339891,0.079283919,,,
Li5.9 La3.0Zr1.75Al0.2W0.25O12,300,5.20E-04,-3.283996656,-3.341623561,0.000319011,0.045027605,,,
Li6.75 La3.0Zr1.75Ta0.25O12,300,4.30E-04,-3.366531544,-3.31338224,0.00025661,0.050263258,,,
Li6.75 La3.0Zr1.75Bi0.25O12,300,5.00E-06,-5.301029996,-5.161133746,0.000174991,2.384073831,,,
Li6.5 La4.0Zr1.75Mo0.25O12,300,1.30E-06,-5.886056648,-5.721118231,0.000157172,4.336518642,,,
Li6.5 La4.0Zr1.75Mo0.25O12,300,1.74E-05,-4.759450752,-4.275815412,0.000157172,0.913601525,,,
Li6.5 La4.0Zr1.75Mo0.25O12,300,1.30E-04,-3.886056648,-3.644281668,0.000157172,0.006794861,,,
Li6.75 La3.0Zr1.75Nb0.25O12,300,8.00E-04,-3.096910013,-2.525057017,0.00022111,0.311900641,,,
Li6.5 La3.0Zr1.75W0.25O12,300,4.90E-04,-3.30980392,-3.120578084,0.000189285,0.170634142,,,
Li6.75 La3.0Zr1.75Ta0.25O12,300,6.90E-04,-3.161150909,-3.262288874,0.00025661,0.184534958,,,
Li6.75 La3.0Zr1.75Ta0.25O12,300,6.55E-04,-3.1837587,-3.377180178,0.00025661,0.165622572,,,
Li5.9 La3.0Zr1.8Ga0.3Nb0.2O12,300,3.72E-04,-3.42945706,-3.905073569,0.000563099,0.032415068,,,
Li6.05 La3.0Zr1.8Ga0.25Nb0.2O12,300,5.04E-04,-3.297569464,-3.207922431,0.001888227,0.329044173,,,
Li6.2 La3.0Zr1.8Ga0.2Nb0.2O12,300,7.20E-04,-3.142667504,-2.821180413,0.002191931,0.233766791,,,
Li6.35 La3.0Zr1.8Ga0.15Nb0.2O12,300,7.39E-04,-3.131355562,-3.315259416,0.002395833,0.260928993,,,
Li6.5 La3.0Zr1.8Ga0.1Nb0.2O12,300,6.75E-04,-3.170696227,-2.688901275,0.001915665,0.205223224,,,
Li7.1 La3.0Zr1.9Cr0.2O12,300,2.40E-04,-3.619788758,-4.041687348,0.000166978,0.024822337,,,
Li7.2 La3.0Zr1.8Gd0.2O12,300,2.30E-04,-3.638272164,-3.884495319,0.000217456,0.000593238,,,
Li7.0 La3.0Zr1.8Ge0.2O12,300,2.52E-04,-3.598599459,-3.579242071,0.000160088,0.038825762,,,
Li6.6 La3.0Zr1.8Mo0.2O12,300,5.09E-04,-3.293282218,-3.915743077,0.000196958,0.170027058,,,
Li6.8 La3.0Zr1.8Sb0.2O12,300,5.90E-05,-4.229147988,-4.224040195,0.00010562,0.063956307,,,
Li6.8 La3.0Zr1.8Ta0.2O12,300,1.29E-04,-3.88941029,-3.975120993,0.000254812,0.087396968,,,
Li6.8 La3.0Zr1.8Ta0.2O12,300,2.20E-06,-5.657577319,-6.152184745,0.000254812,4.259257276,,,
Li6.8 La3.0Zr1.8Ta0.2O12,300,6.54E-05,-4.184422252,-4.033417428,0.000254812,0.34885767,,,
Li6.8 La3.0Zr1.8Nb0.2O12,300,3.57E-04,-3.447331784,-3.618771521,0.000255191,0.021258546,,,
Li6.0 La3.0Zr1.5W0.15O12,300,2.08E-04,-3.681936665,-3.880280224,6.60E-05,0.24844408,,,
Li6.7 La3.0Zr1.85W0.15O12,300,2.70E-04,-3.568636236,-3.192112033,0.000186401,0.025893475,,,
Li7.0 La3.0Zr1.9Ge0.1O12,300,1.49E-04,-3.826813732,-3.390554518,0.000164038,0.001743723,,,
Li6.8 La3.0Zr1.9Mo0.1O12,300,2.46E-04,-3.609064893,-3.534398876,0.000150517,0.045518587,,,
Li6.625 La3.0Zr1.925Al0.1Sb0.075O12,300,2.35E-04,-3.628932138,-3.762811305,0.000252942,0.001021026,,,
Li6.7 La3.0Zr1.925Al0.075Sb0.075O12,300,3.45E-04,-3.462180905,-3.489999826,0.000246228,0.021456857,,,
Li6.775 La3.0Zr1.925Al0.05Sb0.075O12,300,4.10E-04,-3.387216143,-3.70001766,0.000260254,0.038961687,,,
Li6.925 La3.0Zr1.925Sb0.075O12,300,3.40E-04,-3.468521083,-3.427313039,0.000118016,0.211176639,,,
Li6.925 La3.0Zr1.925Sb0.075O12,300,2.65E-04,-3.576754126,-3.562154626,0.000118016,0.123416293,,,
Li7.06 La3.0Zr1.94Sm0.06O12,300,2.46E-04,-3.609064893,-3.469302115,0.000231991,0.000648369,,,
Li7.06 La3.0Zr1.94Y0.06O12,300,9.56E-04,-3.019542108,-2.714033113,0.000222137,0.401748493,,,
Li6.4 La2.4Zr2.0Ce0.6O12,300,1.26E-05,-4.899629455,-5.032507066,0.000169796,1.275896071,,,
