Temp_K,Ea_eV,electrolyte,doi,Ionic_Conductivity,Material_Type,avg_electronegativity,avg_atomic_mass,avg_ionic_radius,num_elements,li_fraction,composition_entropy,electronegativity_variance,group_diversity,packing_efficiency_proxy,li_to_anion_ratio,heaviest_element_mass,lightest_element_mass,is_mixture,formula_complexity,total_atoms
312.8482024,0.246696466,Li5.6PS4.3O0.3Br1.4,10.1039/D4TA04835K,0.002784323,Argyrodite,1.900634921,25.74563492,1.251746032,5,0.444444444,1.261521668,0.791336,4,0.224489796,0.933333333,79.9,6.94,0,63,12.6
312.8498039,0.420575515,Li6.6La3Zr1.6Nb0.4O12,10.1016/j.jeurceramsoc.2018.08.037,0.000101465,Garnet,2.280338983,35.49364407,1.115,5,0.279661017,1.214006633,1.374168,5,0.457142857,0.55,138.91,6.94,0,118,23.6
312.8508769,0.993831515,Li1.3Al0.3Ti1.7(PO4)3 ,10.1039/d0cp03442h,0.001438966,Garnet,2.853825137,20.9510929,1.109672131,5,0.071038251,1.049159727,0.856755,5,0.314285714,0.108333333,47.87,6.94,0,91.5,18.3
312.8520137,0.28157891,Li2ZrCl5F,10.1021/acsami.3c03513,0.000187785,Halide ,2.563333333,33.48333333,1.402222222,4,0.222222222,1.149059697,1.146888889,3,0.397790055,0.333333333,91.22,6.94,0,36,9
312.8535901,0.240716803,Li6.1Al0.3La3Zr2O12 ,10.1016/j.jpowsour.2024.234061,0.00052499,Garnet,2.29491453,35.9657265,1.116581197,5,0.260683761,1.222377873,1.37366944,5,0.385714286,0.508333333,138.91,6.94,0,117,23.4
312.855009,0.413368194,Li6.7La3Zr1.7Nb0.3O12,10.1016/j.jeurceramsoc.2018.08.037,7.93E-05,Garnet,2.27371308,35.36603376,1.113839662,5,0.282700422,1.207681239,1.374168,5,0.457142857,0.558333333,138.91,6.94,0,118.5,23.7
312.8567213,0.193134566,Li3YCl4Br2,10.1016/j.ensm.2024.103733,0.003004521,Halide,2.272,41.133,1.434,4,0.3,1.279854226,1.021536,3,0.387755102,0.5,88.91,6.94,0,40,10
312.8571429,0.62246375,Li5La3Ta2O12,10.1016/j.jssc.2024.125154,7.04E-07,Garnet,2.385454545,45.69681818,1.135,4,0.227272727,1.157033336,1.352115702,4,0.457142857,0.416666667,180.95,6.94,0,88,22
312.857277,0.306679467,Li6PS5Cl-0.03SnI4 ,10.1016/j.jallcom.2023.172334,0.007222966,Argyrodite,2.040555556,49.70666667,1.416666667,6,0.333333333,1.537987101,0.612249691,5,0.2,0.6,126.9,6.94,0,108,18
312.8581021,0.349747519,Li2ZrCl6,10.1021/acs.energyfuels.4c03193,0.001344286,Halide,2.472222222,35.31111111,1.455555556,3,0.222222222,0.848685558,0.955150617,3,0.397790055,0.333333333,91.22,6.94,0,27,9
312.8582569,0.402697197,Li3.09P0.97Zn0.03S3.97O0.03,10.1016/j.ensm.2018.07.008,0.000458682,Oxide,1.921854141,22.40355995,1.253918418,5,0.381953028,1.012778155,0.701677686,4,0.239130435,0.7725,65.38,6.94,0,40.45,8.09
312.863441,0.307145924,Li2FeCl4,10.1021/acsami.4c09878,6.06E-07,Oxyhalide-Nitride,2.347142857,30.21857143,1.344285714,3,0.285714286,0.955699891,0.949791837,3,0.359116022,0.5,55.85,6.94,0,21,7
312.8639367,0.272340923,Li2ZrCl5.3F0.7 ,10.1021/acsami.3c03513,0.000264746,Halide ,2.536,34.03166667,1.418222222,4,0.222222222,1.088839239,1.064241,3,0.397790055,0.333333333,91.22,6.94,0,36,9
312.8654195,0.383367658,Li6.75La3Zr1.75Nb0.25O12,10.1016/j.jeurceramsoc.2018.08.037,4.85E-05,Garnet,2.270421053,35.30263158,1.113263158,5,0.284210526,1.203924315,1.374168,5,0.457142857,0.5625,138.91,6.94,0,118.75,23.75
312.8656617,0.341140343,Li1.3Al0.2Gd0.1Ti1.7(PO4)3,10.1142/S1793604721400026,0.000223997,NASICON,2.851584699,21.66295082,1.111857923,6,0.071038251,1.059594385,0.921427664,6,0.314285714,0.108333333,157.25,6.94,0,109.8,18.3
