train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae,test_mape,model_name,best_params,cv_score,overfitting
0.8084682796080708,0.11744791007596872,0.014634134024891547,0.3147776848521081,0.25830384274876306,0.03201557252333709,0.12389648820461163,0.22053610102136878,0.020973769886232903,6734257168.467665,XGBoost,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.4732166287395835,0.49369059475596266
0.7514594655268354,0.1337899687461968,0.018460193175488426,0.2974272978670556,0.2615536313417187,0.0350993490114884,0.1208417287550354,0.22092024428037813,0.023521645719748584,17158810710.16412,GradientBoosting,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100}",0.5041979087055195,0.45403216765977983
0.5574868047155639,0.17852048211804533,0.01809287002611534,0.307424549036852,0.2596860765725236,0.03157833582428032,0.11931354027443608,0.22111216716842702,0.021201452591756206,17452201969.666523,SVR,"{'C': 10.0, 'epsilon': 0.01, 'kernel': 'rbf'}",0.2702948255946597,0.2500622556787119
0.8697138978187882,0.0968665838594484,0.006550739171133738,0.2882497715954392,0.2632563925643154,0.029620571022760035,0.10767351759001453,0.22256858905723775,0.016856300043218742,33686.32082111994,KNeighbors,"{'n_neighbors': 3, 'weights': 'distance'}",0.44344930273367733,0.581464126223349
0.821797895488706,0.1132873329560146,0.02248024453111212,0.2941076304477067,0.2621708257139122,0.04360420393253513,0.08775077917848761,0.22503948855176822,0.034470779207632564,38102881508.521835,LightGBM,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'num_leaves': 20}",0.19287848224582027,0.5276902650409993
0.7407765668211357,0.1366350334333561,0.03124856394606614,0.3235504112784643,0.25664501717662636,0.04939687694477085,0.041535604127068804,0.23066939362363892,0.04169855579054967,10226654139.379908,MLPRegressor,"{'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.01}",0.07747316014736509,0.4172261555426714
0.0,0.2683644213385459,0.0351948154552031,-0.0024129584158676387,0.31241973115458893,0.05001161744041052,-1.469496366812706e-07,0.23561449975886745,0.03502036591376792,44988309186.04233,Lasso,{'alpha': 1.0},-0.07498045445990656,0.0024129584158676387
0.0,0.2683644213385459,0.0351948154552031,-0.0024129584158676387,0.31241973115458893,0.05001161744041052,-1.469496366812706e-07,0.23561449975886745,0.03502036591376792,44988309186.04233,ElasticNet,"{'alpha': 1.0, 'l1_ratio': 0.5}",-0.07498045445990656,0.0024129584158676387
0.8361592652601684,0.1086265238077998,0.013985524850241345,0.33028138312280764,0.25536495935681885,0.030383234041532262,-0.020080737621470446,0.23796838048112645,0.023252796821792418,2547581756.7516093,RandomForest,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.37795162442785096,0.5058778821373607
0.2133140818918393,0.23802667306186062,0.057141518052733854,0.07889536844,0.2994812252372044,0.07583687066938448,-0.08604826829441103,0.24554242763108242,0.06189353592132939,132238017790.8568,Ridge,{'alpha': 100.0},-2.588510594682841,0.1344187134518393
0.21792837213687444,0.237327576115764,0.05899182427422794,0.07816726394536633,0.2995995671413476,0.07640327959651068,-0.1033848309159775,0.2474944623625763,0.06265176969117374,69863102220.52583,LinearRegression,Default,,0.1397611081915081
0.7985084861942933,0.12046290113923962,0.013744187396894997,0.2735753324907344,0.26595637805942135,0.03223642614087382,-0.1343343533958583,0.2509415198732319,0.02528438436299173,3337219856.516148,ExtraTrees,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.44409305678951794,0.5249331537035589
