Target,Best_Combination,Best_Model,Best_R2,Original_R2,Improvement_Percent,Best_RMSE,Best_MAE,N_Features
Ea_eV,Original_Mat2vec_Combined,XGBoost,0.8012493715632105,0.7537265628674955,6.305046290914584,0.1086809769719338,0.0653614675496081,216
log_Ionic_Conductivity,Original_Only,RandomForest,0.7345356594788857,0.7345356594788857,0.0,0.8255203492563566,0.5158550230914599,16
