compound,temperature,conductivity,log_cond,log_Ionic_Conductivity,Ionic_Conductivity,residue,ic_sqr,Predicted_log_IC,Predicted_IC_S_cm
Li6.75 La3.0Zr1.75Bi0.25O12,300,5e-06,-5.301029995663981,-5.161133746,0.000174991,2.384073831,2.465671783,-5.367649636260613,4.288943881207976e-06
Li6.75 La3.0Zr1.75Nb0.25O12,300,0.0008,-3.0969100130080562,-2.525057017,0.00022111,0.311900641,0.401796516,-4.24153591124178,5.734084501920163e-05
Li6.5 La3.0Zr1.75W0.25O12,300,0.00049,-3.309803919971486,-3.120578084,0.000189285,0.170634142,0.177224417,-2.959437388506424,0.0010978995611688734
Li5.9 La3.0Zr1.8Ga0.3Nb0.2O12,300,0.000372,-3.4294570601181027,-3.905073569,0.000563099,0.032415068,0.09079806,-3.5689759652575477,0.0002697888734978965
Li6.05 La3.0Zr1.8Ga0.25Nb0.2O12,300,0.000504,-3.2975694635544746,-3.207922431,0.001888227,0.329044173,0.187675029,-2.827014726628076,0.0014893105753543128
Li6.2 La3.0Zr1.8Ga0.2Nb0.2O12,300,0.00072,-3.1426675035687315,-2.821180413,0.002191931,0.233766791,0.345881277,-2.8657939777393215,0.0013620906829631722
Li6.35 La3.0Zr1.8Ga0.15Nb0.2O12,300,0.000739,-3.1313555616051745,-3.315259416,0.002395833,0.260928993,0.359314722,-2.9625311674807953,0.001090106257255659
Li6.5 La3.0Zr1.8Ga0.1Nb0.2O12,300,0.000675,-3.170696227168975,-2.688901275,0.001915665,0.205223224,0.313698565,-3.0858529706871027,0.0008206293193150051
Li7.1 La3.0Zr1.9Cr0.2O12,300,0.00024,-3.619788758288394,-4.041687348,0.000166978,0.024822337,0.012319994,-2.175770750530907,0.00667158847025974
Li7.2 La3.0Zr1.8Gd0.2O12,300,0.00023,-3.638272163982407,-3.884495319,0.000217456,0.000593238,0.008558481,-3.8328532616666395,0.0001469422678637364
Li7.0 La3.0Zr1.8Ge0.2O12,300,0.000252,-3.598599459218456,-3.579242071,0.000160088,0.038825762,0.017472812,-3.777726289978045,0.00016682983106494848
Li6.6 La3.0Zr1.8Mo0.2O12,300,0.000509,-3.2932822176632413,-3.915743077,0.000196958,0.170027058,0.191408006,-3.382468084339644,0.00041450704442946775
Li6.8 La3.0Zr1.8Sb0.2O12,300,5.9e-05,-4.229147988357856,-4.224040195,0.00010562,0.063956307,0.248366441,-4.466769273217167,3.413742246736515e-05
Li6.8 La3.0Zr1.8Nb0.2O12,300,0.000357,-3.447331783887807,-3.618771521,0.000255191,0.021258546,0.080345286,-3.8576525967906017,0.00013878655739515207
